Mode: chained; duration: 120.0s; speed: 150
Phase 1: forward 17 cm for 2.10s, then right 90 degrees for 2.68s
Circle mode: after 25.6s on P1110/P1111, or both within 1.0s, turn right about 42.5 degrees; auto-trace inside; sustained P1001 (0.1s) enters exit mode: drive 5 cm and turn right 50 degrees
Operator beside car, chassis secured, power ready to cut? (yes/no) Phase 1 starting: forward 17 cm
Phase 1 complete: turning right 90 degrees
Phase 2 starting: auto-tracing
   5.4s P0010 -> L150 R150: centred or right drift; forward-only policy
   6.0s P0010 -> L150 R150: centred or right drift; forward-only policy
   6.0s P0010 -> L150 R150: centred or right drift; forward-only policy
   6.0s P0010 -> L150 R150: centred or right drift; forward-only policy
   6.1s P0010 -> L150 R150: centred or right drift; forward-only policy
   6.1s P0010 -> L150 R150: centred or right drift; forward-only policy
   6.1s P0010 -> L150 R150: centred or right drift; forward-only policy
   6.1s P0010 -> L150 R150: centred or right drift; forward-only policy
   6.1s P0000 -> L150 R150: blind band or line lost; forward-only policy
   6.1s P0000 -> L150 R150: blind band or line lost; forward-only policy
   6.1s P0000 -> L150 R150: blind band or line lost; forward-only policy
   6.1s P0000 -> L150 R150: blind band or line lost; forward-only policy
   6.1s P0000 -> L150 R150: blind band or line lost; forward-only policy
   6.1s P0000 -> L150 R150: blind band or line lost; forward-only policy
   6.2s P0000 -> L150 R150: blind band or line lost; forward-only policy
   6.2s P0000 -> L150 R150: blind band or line lost; forward-only policy
   6.2s P0000 -> L150 R150: blind band or line lost; forward-only policy
   6.2s P0000 -> L150 R150: blind band or line lost; forward-only policy
   6.2s P0000 -> L150 R150: blind band or line lost; forward-only policy
   6.2s P0000 -> L150 R150: blind band or line lost; forward-only policy
   6.2s P0000 -> L150 R150: blind band or line lost; forward-only policy
   6.2s P0000 -> L150 R150: blind band or line lost; forward-only policy
   6.2s P0000 -> L150 R150: blind band or line lost; forward-only policy
   6.2s P0000 -> L150 R150: blind band or line lost; forward-only policy
   6.3s P0000 -> L150 R150: blind band or line lost; forward-only policy
   6.3s P0000 -> L150 R150: blind band or line lost; forward-only policy
   6.3s P0000 -> L150 R150: blind band or line lost; forward-only policy
   6.3s P0000 -> L150 R150: blind band or line lost; forward-only policy
   6.3s P0000 -> L150 R150: blind band or line lost; forward-only policy
   6.3s P0000 -> L150 R150: blind band or line lost; forward-only policy
   6.3s P0000 -> L150 R150: blind band or line lost; forward-only policy
   6.3s P0000 -> L150 R150: blind band or line lost; forward-only policy
   6.3s P0000 -> L150 R150: blind band or line lost; forward-only policy
   6.3s P0000 -> L150 R150: blind band or line lost; forward-only policy
   6.4s P0000 -> L150 R150: blind band or line lost; forward-only policy
   6.4s P0000 -> L150 R150: blind band or line lost; forward-only policy
   6.4s P0000 -> L150 R150: blind band or line lost; forward-only policy
   6.4s P0000 -> L150 R150: blind band or line lost; forward-only policy
   6.4s P0000 -> L150 R150: blind band or line lost; forward-only policy
   6.4s P0000 -> L150 R150: blind band or line lost; forward-only policy
   6.4s P0000 -> L150 R150: blind band or line lost; forward-only policy
   6.4s P0000 -> L150 R150: blind band or line lost; forward-only policy
   6.4s P0000 -> L150 R150: blind band or line lost; forward-only policy
   6.4s P0000 -> L150 R150: blind band or line lost; forward-only policy
   6.5s P0000 -> L150 R150: blind band or line lost; forward-only policy
   6.5s P0000 -> L150 R150: blind band or line lost; forward-only policy
   6.5s P0000 -> L150 R150: blind band or line lost; forward-only policy
   6.5s P0000 -> L150 R150: blind band or line lost; forward-only policy
   6.5s P0000 -> L150 R150: blind band or line lost; forward-only policy
   6.5s P0000 -> L150 R150: blind band or line lost; forward-only policy
   6.5s P0001 -> L150 R150: centred or right drift; forward-only policy
   6.5s P0001 -> L150 R150: centred or right drift; forward-only policy
   6.5s P0001 -> L150 R150: centred or right drift; forward-only policy
   6.5s P0001 -> L150 R150: centred or right drift; forward-only policy
   6.6s P0001 -> L150 R150: centred or right drift; forward-only policy
   6.6s P0001 -> L150 R150: centred or right drift; forward-only policy
   6.6s P0001 -> L150 R150: centred or right drift; forward-only policy
   6.6s P0001 -> L150 R150: centred or right drift; forward-only policy
   6.6s P0001 -> L150 R150: centred or right drift; forward-only policy
   6.6s P0001 -> L150 R150: centred or right drift; forward-only policy
   6.6s P0001 -> L150 R150: centred or right drift; forward-only policy
   6.6s P0001 -> L150 R150: centred or right drift; forward-only policy
   6.6s P0001 -> L150 R150: centred or right drift; forward-only policy
   6.6s P0001 -> L150 R150: centred or right drift; forward-only policy
   6.7s P0001 -> L150 R150: centred or right drift; forward-only policy
   6.7s P0001 -> L150 R150: centred or right drift; forward-only policy
   6.7s P0001 -> L150 R150: centred or right drift; forward-only policy
   6.7s P0001 -> L150 R150: centred or right drift; forward-only policy
   6.7s P0001 -> L150 R150: centred or right drift; forward-only policy
   6.7s P0001 -> L150 R150: centred or right drift; forward-only policy
   6.7s P0001 -> L150 R150: centred or right drift; forward-only policy
   6.7s P0001 -> L150 R150: centred or right drift; forward-only policy
   6.7s P0001 -> L150 R150: centred or right drift; forward-only policy
   6.7s P0001 -> L150 R150: centred or right drift; forward-only policy
   6.8s P0001 -> L150 R150: centred or right drift; forward-only policy
   6.8s P0001 -> L150 R150: centred or right drift; forward-only policy
   6.8s P0001 -> L150 R150: centred or right drift; forward-only policy
   6.8s P0001 -> L150 R150: centred or right drift; forward-only policy
   6.8s P0001 -> L150 R150: centred or right drift; forward-only policy
   6.8s P0001 -> L150 R150: centred or right drift; forward-only policy
   6.8s P0001 -> L150 R150: centred or right drift; forward-only policy
   6.8s P0001 -> L150 R150: centred or right drift; forward-only policy
   6.8s P0001 -> L150 R150: centred or right drift; forward-only policy
   6.8s P0001 -> L150 R150: centred or right drift; forward-only policy
   6.9s P0001 -> L150 R150: centred or right drift; forward-only policy
   6.9s P0001 -> L150 R150: centred or right drift; forward-only policy
   6.9s P0001 -> L150 R150: centred or right drift; forward-only policy
   6.9s P0001 -> L150 R150: centred or right drift; forward-only policy
   6.9s P0001 -> L150 R150: centred or right drift; forward-only policy
   6.9s P0001 -> L150 R150: centred or right drift; forward-only policy
   6.9s P0001 -> L150 R150: centred or right drift; forward-only policy
   6.9s P0001 -> L150 R150: centred or right drift; forward-only policy
   6.9s P0001 -> L150 R150: centred or right drift; forward-only policy
   6.9s P0001 -> L150 R150: centred or right drift; forward-only policy
   7.0s P0001 -> L150 R150: centred or right drift; forward-only policy
   7.0s P0001 -> L150 R150: centred or right drift; forward-only policy
   7.0s P0001 -> L150 R150: centred or right drift; forward-only policy
   7.0s P0001 -> L150 R150: centred or right drift; forward-only policy
   7.0s P0001 -> L150 R150: centred or right drift; forward-only policy
   7.0s P0001 -> L150 R150: centred or right drift; forward-only policy
   7.0s P0001 -> L150 R150: centred or right drift; forward-only policy
   7.0s P0001 -> L150 R150: centred or right drift; forward-only policy
   7.0s P0001 -> L150 R150: centred or right drift; forward-only policy
   7.0s P0000 -> L150 R150: blind band or line lost; forward-only policy
   7.1s P0000 -> L150 R150: blind band or line lost; forward-only policy
   7.1s P0000 -> L150 R150: blind band or line lost; forward-only policy
   7.1s P0000 -> L150 R150: blind band or line lost; forward-only policy
   7.1s P0000 -> L150 R150: blind band or line lost; forward-only policy
   7.1s P0000 -> L150 R150: blind band or line lost; forward-only policy
   7.1s P0000 -> L150 R150: blind band or line lost; forward-only policy
   7.1s P0000 -> L150 R150: blind band or line lost; forward-only policy
   7.1s P0000 -> L150 R150: blind band or line lost; forward-only policy
   7.1s P0000 -> L150 R150: blind band or line lost; forward-only policy
   7.1s P0000 -> L150 R150: blind band or line lost; forward-only policy
   7.2s P0000 -> L150 R150: blind band or line lost; forward-only policy
   7.2s P0000 -> L150 R150: blind band or line lost; forward-only policy
   7.2s P0010 -> L150 R150: centred or right drift; forward-only policy
   7.2s P0010 -> L150 R150: centred or right drift; forward-only policy
   7.2s P0010 -> L150 R150: centred or right drift; forward-only policy
   7.2s P0010 -> L150 R150: centred or right drift; forward-only policy
   7.2s P0010 -> L150 R150: centred or right drift; forward-only policy
   7.2s P0010 -> L150 R150: centred or right drift; forward-only policy
   7.2s P0010 -> L150 R150: centred or right drift; forward-only policy
   7.2s P0010 -> L150 R150: centred or right drift; forward-only policy
   7.3s P0010 -> L150 R150: centred or right drift; forward-only policy
   7.3s P0010 -> L150 R150: centred or right drift; forward-only policy
   7.3s P0110 -> L150 R150: centred or right drift; forward-only policy
   7.3s P0110 -> L150 R150: centred or right drift; forward-only policy
   7.3s P0110 -> L150 R150: centred or right drift; forward-only policy
   7.3s P0110 -> L150 R150: centred or right drift; forward-only policy
   7.3s P0110 -> L150 R150: centred or right drift; forward-only policy
   7.3s P0110 -> L150 R150: centred or right drift; forward-only policy
   7.3s P0110 -> L150 R150: centred or right drift; forward-only policy
   7.3s P0110 -> L150 R150: centred or right drift; forward-only policy
   7.4s P0110 -> L150 R150: centred or right drift; forward-only policy
   7.4s P0110 -> L150 R150: centred or right drift; forward-only policy
   7.4s P0110 -> L150 R150: centred or right drift; forward-only policy
   7.4s P0110 -> L150 R150: centred or right drift; forward-only policy
   7.4s P0110 -> L150 R150: centred or right drift; forward-only policy
   7.4s P0110 -> L150 R150: centred or right drift; forward-only policy
   7.4s P0110 -> L150 R150: centred or right drift; forward-only policy
   7.4s P0110 -> L150 R150: centred or right drift; forward-only policy
   7.4s P0110 -> L150 R150: centred or right drift; forward-only policy
   7.4s P0110 -> L150 R150: centred or right drift; forward-only policy
   7.5s P0110 -> L150 R150: centred or right drift; forward-only policy
   7.5s P0110 -> L150 R150: centred or right drift; forward-only policy
   7.5s P0110 -> L150 R150: centred or right drift; forward-only policy
   7.5s P0110 -> L150 R150: centred or right drift; forward-only policy
   7.5s P0110 -> L150 R150: centred or right drift; forward-only policy
   7.5s P0110 -> L150 R150: centred or right drift; forward-only policy
   7.5s P0110 -> L150 R150: centred or right drift; forward-only policy
   7.5s P0110 -> L150 R150: centred or right drift; forward-only policy
   7.5s P0110 -> L150 R150: centred or right drift; forward-only policy
   7.5s P0110 -> L150 R150: centred or right drift; forward-only policy
   7.6s P0110 -> L150 R150: centred or right drift; forward-only policy
   7.6s P0110 -> L150 R150: centred or right drift; forward-only policy
   7.6s P0100 -> L0 R150: drifting left, slight; left correction
   7.6s P0100 -> L0 R150: drifting left, slight; left correction
   7.6s P0100 -> L0 R150: drifting left, slight; left correction
   7.6s P0100 -> L0 R150: drifting left, slight; left correction
   7.6s P0100 -> L0 R150: drifting left, slight; left correction
   7.6s P0100 -> L0 R150: drifting left, slight; left correction
   7.6s P0100 -> L0 R150: drifting left, slight; left correction
   7.6s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   7.7s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   7.7s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   7.7s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   7.7s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   7.7s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   7.7s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   7.7s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   7.7s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   7.7s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   7.8s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   7.8s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   7.8s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   7.8s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   7.8s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   7.8s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   7.8s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   7.8s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   7.8s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   7.8s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   7.9s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   7.9s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   7.9s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   7.9s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   7.9s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   7.9s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   7.9s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   7.9s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   7.9s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   7.9s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.0s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.0s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.0s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.0s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.0s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.0s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.0s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   8.0s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   8.0s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   8.0s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   8.1s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   8.1s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   8.1s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   8.1s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.1s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.1s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.1s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.1s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.1s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.1s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.2s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.2s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.2s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.2s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.2s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.2s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.2s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.2s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.2s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.2s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.3s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.3s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.3s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.3s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.3s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.3s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.3s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.3s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.3s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.3s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.4s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.4s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.4s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.4s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.4s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.4s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.4s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.4s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.4s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.4s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.5s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.5s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.5s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.5s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.5s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.5s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.5s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.5s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.5s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.5s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.6s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.6s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.6s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.6s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.6s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.6s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.6s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.6s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.6s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.6s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.7s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.7s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.7s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   8.7s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   8.7s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   8.7s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   8.7s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   8.7s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   8.7s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   8.7s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   8.8s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   8.8s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   8.8s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   8.8s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   8.8s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.8s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.8s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.8s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.8s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.8s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.9s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.9s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.9s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.9s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.9s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.9s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.9s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.9s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.9s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   8.9s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   9.0s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   9.0s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   9.0s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   9.0s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   9.0s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   9.0s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   9.0s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   9.0s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   9.0s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   9.0s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   9.1s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   9.1s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   9.1s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   9.1s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   9.1s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   9.1s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   9.1s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   9.1s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   9.1s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   9.1s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   9.2s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   9.2s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   9.2s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   9.2s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   9.2s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   9.2s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   9.2s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   9.2s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   9.2s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   9.2s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   9.3s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   9.3s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   9.3s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   9.3s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   9.3s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   9.3s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   9.3s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   9.3s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   9.3s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   9.3s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   9.4s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   9.4s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   9.4s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   9.4s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   9.4s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
